barcode,product_name,brands,categories,ingredients,energy_kcal,fat_g,saturated_fat_g,carbohydrates_g,sugars_g,fiber_g,protein_g,salt_g,sodium_g,nutriscore_grade,nutriscore_score,nova_group
8902979005319,Maa Guva juice,Cavinkare,Fruit juices,"Water, Sugar, Guava pulp (10%), Acidity regulators (INS 330, INS 331 (iii)), Thickener (INS 466), Flavour (Nature Identical Flavouring substances), lodized salt, Antioxidant (INS 300), Synthetic Food Colour (INS 129)",71.55,0.04,0,17.67,17.43,0,0.13,0.09083,0.036332,unknown,0,4 - Ultra processed food and drink products
8908001658591,o'cean fruit drink,o'cean,Beverages,"Water, DI Apple Juice Concentrate 1.8% (Equivalent to 12% DI-Apple Juice) Sugar, Glucose, Minerals (E 329, E 508), Acidity Regulator (E 330, E 331), Nature Identical Flavouring Substances (Pineapple Flavour), Permitted Class I Preservative (E 202). Vitamin C, Vitamins (B3, B5, B7). CONTAINS ADDED PINEAPPLE FLAVOUR (NATURE IDENTICAL FLAVOURING SUBSTANCES).",42,0,0,10,10,0,0.5,0.0125,0.005,e,11,4 - Ultra processed food and drink products
8901117289963,prolyte ORS Nimbu Paani Flavour,CiplaHealth,Dietary drink for sport,,241.071429,0,0,60.267857,0,0,0,0,0,unknown,0,
8906080604676,Paper boat Indigo exclusive mango basil,Paper boat,"Canned fruits in juice, Fruit juices","Water, Mango Pulp (51%) Apple Juice Concentrate (7%). Flavours (Natural and Nature-Identical Flavouring Substances), Lemon Juice Concentrate, Dried Basil Leaves.",50.4,0,0,12.6,11.9,0,0,0.00625,0.0025,e,12,4 - Ultra processed food and drink products
8906088701667,NUTTY HAZLENUT INSTANT COFFEE,COLOMBIAN BREW COFFEE,"Beverages, Coffees, Instant coffees","Coffee Beans, Flavourings",17,0,0,30,0,0,10,0,0,unknown,0,4 - Ultra processed food and drink products
8903754000826,Grand Cold Coffee,Tata,Beverages,"Double Toned Milk (80%), Water, Sugar, Instant Coffee (0.8%), Nature-Identical Flavouring Substances, Stabilizers (INS 471, INS 412, INS 407), Acidity Regulator [INS 339(1)] Sterilized Double Toned Flavoured Milk. ALLERGENS: Contains Milk",154,4.7,3.5,22.5,19.6,0,5.4,0.3925,0.157,e,10,4 - Ultra processed food and drink products
8908014378462,Epicos Lemon,Epicos,Sweetened beverages,"CARBONATED WATER, SUGAR, LEMON JUICE CONCENTRATE (EQUIVALENT TO LEMON JUICE 2.5%), ACIDITY REGULATOR (330), ANTIOXIDANT (300), CONTAINS PERMITTED PRESERVATIVES CLASS-II (211) CONTAINS PERMITTED SYNTHETIC FOOD COLOUR ADDED FLAVOUR (NATURE IDENTICAL FLAVOURING SUBSTANCES (LEMON).",43,0,0,10.8,10.5,0,0,0,0,unknown,0,4 - Ultra processed food and drink products
8901030966033,Bru Cold Coffee Hazelnut,Bru,Beverages,"DOUBLE TONED MILK (79%), SUGAR, MILK SOLIDS, COFFEE (1%), STABILIZERS (INS 460 INS 466&INS 407), ACIDITY REGULATOR (INS 340 (ii) & FLAVOURS (NATURE IDENTICAL FLAVOURING SUBSTANCES).",92.173913,0,1.565217,0,11.608696,0.086957,3.782609,0.11413,0.045652,unknown,0,4 - Ultra processed food and drink products
8906099093270,Orawet Apple,Orawet,Beverages,"Water, Sugar, Apple Juice Concentrate (1.75%), Dextrose, Sodium Citrate (0.29%), Acidity Regulator (INS 296), Potassium Chloride (0.15%), Sodium Chloride (0.125%), Flavour (Nature Identical Flavouring substances, Antioxidant (INS 300), Colour (INS 150 a) *Reconstituted 10% apple juice.",36.8,0,0,9.2,9.2,0,0,0.2925,0.117,e,12,4 - Ultra processed food and drink products
8909081006197,Coconut Water with Litchi,"B Natural, ITC",Coconut waters,"Water, &quot;Concentrated Tender Coconut Water (9.5%) [Tender Coconut Water, Preservative (202)]. Litchi Pulp (1.3%), Nature Identical Flavouring Substances, Vitamin and Acidity Regulator (330) A Equivalent to 99% Reconstituted Tender Coconut Water May contain Milk, Nut, Soy and Sulphite",22,0,0,5.6,5.6,0,0,0.05,0.02,c,6,4 - Ultra processed food and drink products
8906080602634,Swing Jeera,Paper boat,Beverages,"CARBONATED WATER, SUGAR, IODISED SALT, ACIDITY REGULATOR (330), FOOD COLOUR (150D) FLAVOURS (NATURE-IDENTICAL FLAVOURING SUBSTANCES), ANTIOXIDANT (300), PRESERVATIVE (211) AND CUMIN POWDER.",46,0,0,11.5,22.5,0,0,712.5,285,unknown,0,4 - Ultra processed food and drink products
8903754393058,Lychee Zap,Tata Gluco+,Beverages,"Water, Sugar, Glucose (3.2%) Concentrated Apple Juice (1.7%), Mineral Salts, Acidity Regulator (INS 330), Preservative (INS 202), Sweetener (INS 960), Emulsifier (INS 445), Natural Flavouring Substance, Nature Identical Flavouring Substance.",42,0,0,10.5,10.5,0,0,0.095,0.038,e,16,4 - Ultra processed food and drink products
8901207038624,mixed fruit,,Beverages,,49,0,0,12.3,12.3,0,0,0.035,0.014,e,13,
8908015692147,Coconut Water,Coco Charge,Coconut waters,"TENDER COCONUT WATER(100%), BIO-PRESERVATIVE (INS 234)",19.27,0,0,4.64,4.07,0,0.18,0.060425,0.02417,c,4,
8901138008116,"Himalaya Re-Hydrate Electrolyte Drink, Orange Flavor",Himalaya Wellness Company,Energy drinks,,31,0,0,7.6,7.6,0,0,0.2925,0.117,d,9,
8908002949025,Torino Orange Flavour Aerated Beverage,Torino is sold by MEGATRENDS,Carbonated fruit soft drink,"WATER, SUGAR (12gm/100ml), CARBON DIOXIDE (0.432g/100ml), ACIDITY REGULATOR (INS 330) & STABILISING AGENTS (INS 414, INS 445), PERMITTED CLASS II PRESERVATIVES (INS 211), CONTAINS PERMITTED SYNTHETIC FOOD COLOURS (INS 110) & ADDED ORANGE FLAVOUR. (NATURAL & NATURE IDENTICAL FLAVOURING SUBSTANCES)",45,0,0,12,0,0,0,0,0,unknown,0,4 - Ultra processed food and drink products
5000108478119,Quaker White Oats,Quaker,Rolled oats,100% flocons d'avoine,374,8,1.5,60,1.1,9,11,0,0,a,-4,1 - Unprocessed or minimally processed foods
